1.431500	0.003471
1.457763	0.003471
1.484025	0.003471
1.510288	0.003471
1.536551	0.003471
1.562813	0.003471
1.589076	0.003471
1.615338	0.003471
1.641601	0.003471
1.667864	0.003471
1.694126	0.003471
1.720389	0.003471
1.746652	0.003471
1.772914	0.003471
1.799177	0.003471
1.825439	0.003471
1.851702	0.003471
1.877965	0.003471
1.904227	0.003471
1.930490	0.003471
1.956753	0.003471
1.983015	0.003471
2.009278	0.003471
2.035540	0.003471
2.061803	0.003471
2.088066	0.003471
2.114328	0.003471
2.140591	0.003471
2.166854	0.003471
2.193116	0.003471
2.219379	0.003471
2.245641	0.003471
2.271904	0.003471
2.298167	0.003471
2.324429	0.003471
2.350692	0.003471
2.376955	0.003472
2.403217	0.003473
2.429480	0.003474
2.455742	0.003477
2.482005	0.003480
2.508268	0.003484
2.534530	0.003489
2.560793	0.003495
2.587056	0.003502
2.613318	0.003510
2.639581	0.003520
2.665843	0.003533
2.692106	0.003551
2.718369	0.003572
2.744631	0.003597
2.770894	0.003625
2.797157	0.003654
2.823419	0.003686
2.849682	0.003720
2.875944	0.003754
2.902207	0.003789
2.928470	0.003825
2.954732	0.003864
2.980995	0.003903
3.007258	0.003942
3.033520	0.003981
3.059783	0.004021
3.086045	0.004060
3.112308	0.004100
3.138571	0.004139
3.164833	0.004179
3.191096	0.004219
3.217359	0.004258
3.243621	0.004298
3.269884	0.004338
3.296146	0.004378
3.322409	0.004418
3.348672	0.004458
3.374934	0.004498
3.401197	0.004538
3.427460	0.004578
3.453722	0.004617
3.479985	0.004657
3.506247	0.004696
3.532510	0.004736
3.558773	0.004775
3.585035	0.004814
3.611298	0.004853
3.637561	0.004891
3.663823	0.004930
3.690086	0.004968
3.716348	0.005006
3.742611	0.005044
3.768874	0.005081
3.795136	0.005119
3.821399	0.005156
3.847662	0.005193
3.873924	0.005229
3.900187	0.005266
3.926449	0.005302
3.952712	0.005338
3.978975	0.005374
4.005237	0.005409
4.031500	0.005444
