Eos1       joint-BF
ALF1	4.0047052713235773e-07
ALF2	0.4562465663317382
ALF3	5.181840175425699e-07
ALF4	0.6875467499410044
AP1	2.3892309458400305e-05
AP2	0.006033894919536222
AP3	2.296367852842494
AP4	0.8112424851260371
APR4_EPP	0.5992476113791763
BBB2	0.30050110075541914
BGN1H1	0.0020765320947232777
BPAL12	1.653150380288448e-06
BSK19	0.05861710795498126
BSK20	1.2894270726282402
BSK21	1.1749704551100741
ENG	1.4991137864848012
FPS	0.051766105454589054
GNH3	0.0051585747436037645
GS1	2.095894488558032e-12
GS2	0.0019416046693369348
H1	4.584734723032884e-05
H2	0.001733650942538917
H3	0.010847029579648549
H4	0.1258080072436361
H5	0.013927765261167147
H6	0.03157154325118787
H7	0.006609908880495795
MPA1	1.727675679212548
MS1B	0.0038685528927240123
MS1B_PP	0.03934540288995908
MS1_PP	0.00435136995353416
MS1	0.0017528997926469887
MS2	0.20707781259343236
PAL6	1.7977137620014987e-06
PCL2	5.827395190561841e-06
PS	2.4682429687144456e-05
QMC700	0.4649190601707267
SLY4	1.000127021169167
SLY	1.0
SQM1	4.566895692579879e-09
SQM2	0.0006714839675473054
SQM3	0.21568928070709648
WFF1	0.03933825883562352
WFF2	0.42427678445783723
WFF3	0.09133824065006879
APR	0.6459369738207705
BHF_BBB2	0.22694530181358755
KDE0V	0.4280465297525114
KDE0V1	0.6218800640227815
RS	0.5686346347069529
SK255	0.6033122606878111
SK272	0.706331465992333
SKA	0.0025200273061221803
SKB	0.9767635661632087
SKI2	0.3840610954799814
SKI3	0.46504484742849544
SKI4	1.0282210297283711
SKI5	0.09615451776578296
SKI6	1.0016530929085932
SKMP	0.775982675145934
SKOP	0.8015032293027728
SLY2	1.0068769246721554
SLY230A	1.2095881065945915
SLY9	1.1208151274454916
HQC18	0.736189113364253
